full_name,forks,open_issues,watchers,size,has_wiki,has_pages,stars
resume/resume.github.com,1372,72,333,411,1,1,62853
rust-lang/rustlings,11192,41,347,4407,0,1,62844
Asabeneh/30-Days-Of-Python,11892,123,966,30842,1,0,62665
gsd-build/get-shit-done,5323,56,257,18964,1,0,62649
tldr-pages/tldr,5232,283,398,56033,1,0,62542
microsoft/ai-agents-for-beginners,20968,8,532,3743413,1,1,62033
cline/cline,6443,881,274,402125,1,0,61912
FuelLabs/sway,5421,903,297,116949,0,1,61701
scrapy/scrapy,11552,625,1754,30314,1,0,61687
reduxjs/redux,15069,42,1245,34120,0,1,61446
youngyangyang04/leetcode-master,12337,245,402,100340,1,0,61418
lodash/lodash,7164,141,804,49776,1,0,61229
JuliusBrussee/caveman,3407,205,145,2470,1,1,61145
jgraph/drawio-desktop,5671,63,564,3119,1,0,61136
git/git,27906,376,2466,305652,0,0,61004
666ghj/MiroFish,9538,275,408,16197,1,0,60994
minio/minio,7502,81,648,125263,0,1,60942
commaai/openpilot,10900,157,1317,826516,1,0,60939
shareAI-lab/learn-claude-code,9961,128,270,915,1,0,60892
h5bp/Front-end-Developer-Interview-Questions,11042,58,2174,6085,0,1,60873
xingshaocheng/architect-awesome,17722,63,3192,3080,1,0,60818
atom/atom,17232,994,0,330585,0,0,60806
topjohnwu/Magisk,17465,58,1637,62802,0,1,60481
dani-garcia/vaultwarden,2806,34,286,12418,1,0,60451
nuxt/nuxt,5612,804,775,138060,0,0,60230
ComposioHQ/awesome-claude-skills,6555,640,402,4483,1,0,60213
adam-p/markdown-here,11071,318,982,17985,1,1,60202
FFmpeg/FFmpeg,13827,3,1513,478281,0,0,60192
Mintplex-Labs/anything-llm,6514,363,390,59681,1,0,60160
PlexPt/awesome-chatgpt-prompts-zh,13588,44,363,39660,1,0,60122
Solido/awesome-flutter,6873,24,1569,3544,0,1,60018
spring-projects/spring-framework,38834,428,3278,242479,1,1,59946
docling-project/docling,4147,905,214,281193,0,1,59864
jquery/jquery,20436,93,3109,35906,1,0,59845
CorentinJ/Real-Time-Voice-Cloning,9413,170,937,369730,1,0,59746
pathwaycom/llm-app,1433,10,90,62509,0,0,59706
usememos/memos,4371,26,189,38092,0,0,59696
shadowsocks/shadowsocks-windows,16272,201,2420,13489,1,0,59556
meta-llama/llama,9799,519,536,1150,0,0,59424
withastro/astro,3454,214,206,224658,0,0,59353
FiloSottile/mkcert,3116,168,506,1799,0,0,58922
sharkdp/bat,1564,375,204,35003,0,0,58913
virattt/ai-hedge-fund,10354,130,657,3332,1,0,58898
ruvnet/RuView,7666,164,350,156998,1,1,58785
warpdotdev/warp,4555,3833,343,188738,0,0,58778
pi-hole/pi-hole,3165,48,707,9105,0,0,58655
angular/angular.js,27130,461,4,101796,1,0,58646
rails/rails,22229,1545,2306,279327,0,0,58427
pocketbase/pocketbase,3375,17,313,137734,0,0,58381
karpathy/nanoGPT,9999,349,498,981,1,0,58211
code-yeongyu/oh-my-openagent,4717,561,210,67886,0,0,58189
microsoft/autogen,8767,834,522,148692,0,1,58097
pmndrs/zustand,2054,5,178,7889,1,1,58039
sansan0/TrendRadar,24314,33,201,30545,0,1,57719
meilisearch/meilisearch,2549,292,296,89430,0,0,57602
RVC-Boss/GPT-SoVITS,6278,860,271,14477,1,0,57544
starship/starship,2518,1010,195,45547,0,0,57516
h5bp/html5-boilerplate,12304,27,2452,22685,1,0,57438
scutan90/DeepLearning-500-questions,15945,120,2226,207074,1,1,57396
ultralytics/yolov5,17478,43,380,17468,1,0,57377
rust-unofficial/awesome-rust,3357,8,816,8112,0,0,57346
harry0703/MoneyPrinterTurbo,8277,5,387,532548,1,0,57297
ultralytics/ultralytics,11011,321,257,55089,1,0,57229
rclone/rclone,5093,1181,569,242043,1,0,57227
zylon-ai/private-gpt,7596,302,477,2798,1,0,57211
FuelLabs/fuel-core,2862,188,221,910572,1,1,57078
tiimgreen/github-cheat-sheet,5418,46,1363,776,0,0,56897
soimort/you-get,9751,384,1351,3538,1,1,56852
remix-run/react-router,10855,136,799,47925,0,0,56418
ageitgey/face_recognition,13739,835,1543,103959,1,0,56407
Textualize/rich,2159,326,526,50508,1,0,56369
FoundationAgents/OpenManus,9806,549,417,4472,1,0,56280
2dust/v2rayNG,7415,11,668,267657,1,0,56258
marktext/marktext,4208,1308,437,79534,1,0,56151
wasabeef/awesome-android-ui,10255,40,2754,871781,1,0,56118
appwrite/appwrite,5353,881,409,430414,0,0,56095
golang-standards/project-layout,5450,94,595,429,1,0,55972
gatsbyjs/gatsby,10197,375,695,1147899,0,0,55952
mem0ai/mem0,6368,373,226,55531,0,0,55917
azl397985856/leetcode,9439,10,1318,126606,1,0,55777
go-gitea/gitea,6705,2793,489,333740,0,0,55727
upstash/context7,2633,150,155,27525,0,0,55464
coollabsio/coolify,4518,757,170,62671,0,0,55343
deepfakes/faceswap,13389,8,1518,205332,0,1,55238
AntonOsika/gpt-engineer,7354,71,529,20474,0,0,55218
termux/termux-app,6592,541,1478,5126,1,0,55054
laurent22/joplin,6104,570,475,636611,0,0,54838
ghostty-org/ghostty,2719,252,202,69258,0,0,54684
ChrisTitusTech/winutil,3071,20,377,14920,0,1,54592
Zie619/n8n-workflows,7154,24,852,45314,1,1,54418
lencx/ChatGPT,6172,934,455,32499,0,1,54376
koala73/worldmonitor,8742,200,337,92012,1,0,54314
romkatv/powerlevel10k,2420,147,188,71926,0,0,54194
facebookresearch/segment-anything,6338,594,330,18751,0,0,54162
ElemeFE/element,14481,2969,1289,93346,1,1,54129
maybe-finance/maybe,5611,0,0,6891,1,0,54125
firstcontributions/first-contributions,102708,189,513,38039,1,0,54009
psf/requests,9926,230,1294,13542,1,0,53999
wagoodman/dive,1994,203,365,6927,0,0,53939
ngosang/trackerslist,6612,5,1296,7094,0,1,53871
vuejs/core,9111,983,750,42113,0,0,53672
WerWolv/ImHex,2387,353,513,52026,0,1,53596
typst/typst,1576,1261,137,139811,0,0,53574
karpathy/nanochat,7203,105,347,1965,0,0,53556
necolas/normalize.css,10396,75,1456,379,0,1,53544
PowerShell/PowerShell,8315,1472,1439,103941,0,0,53467
shanraisshan/claude-code-best-practice,5344,15,414,69546,1,0,53371
mozilla/pdf.js,10616,449,1094,190957,1,1,53319
google/material-design-icons,9727,403,1793,4698287,0,1,53292
TryGhost/Ghost,11590,279,1007,467905,0,0,53033
FlowiseAI/Flowise,24351,860,356,81045,0,0,52871
JetBrains/kotlin,6303,245,1505,4850964,0,0,52736
ionic-team/ionic-framework,13381,626,1552,1664600,1,0,52505
sickcodes/Docker-OSX,2887,416,439,13718,1,1,52503
MemPalace/mempalace,6920,559,303,18339,0,1,52348
vsouza/awesome-ios,6961,6,1782,14398,0,1,52194
ruvnet/ruflo,5878,547,378,520847,1,0,52079
prettier/prettier,4721,1487,411,170333,1,0,51881
agalwood/Motrix,4873,779,482,69808,1,0,51716
etcd-io/etcd,10356,240,1268,96820,0,0,51708
jellyfin/jellyfin,4797,694,356,73770,0,0,51648
xai-org/grok-1,8474,126,638,1008,1,0,51642
tw93/Mole,1620,19,127,236023,0,0,51616
crewAIInc/crewAI,7132,325,374,231577,0,1,51560
google/guava,11145,735,2325,1371789,1,1,51497
